famille,palier,hex,C,M,Y,K,hex epreuve,dE2000
ardoise,50,#F2F6F8,5,3,3,0,#F4F5F7,1.5
ardoise,100,#E0E7EB,14,7,7,0,#E1E7EA,0.6
ardoise,150,#D0D9DE,21,11,12,0,#D2D9DD,0.9
ardoise,200,#BFCAD1,29,16,16,0,#C1CAD1,0.9
ardoise,250,#B0BCC3,35,20,20,2,#B1BCC3,0.4
ardoise,300,#A1AEB6,40,25,24,4,#A3AEB6,0.8
ardoise,350,#92A0A8,45,29,27,7,#93A0A8,0.4
ardoise,400,#84929A,51,33,31,11,#859299,0.5
ardoise,450,#77848C,55,38,35,16,#78848B,0.5
ardoise,500,#6A777F,58,41,38,21,#6C777F,0.9
ardoise,550,#5D6971,62,46,40,27,#5E6971,0.4
ardoise,600,#515C63,65,49,44,35,#535C63,0.9
ardoise,650,#465055,68,53,48,43,#485055,1.0
ardoise,700,#3B4348,71,57,51,51,#3C4348,0.5
ardoise,750,#31373B,74,60,54,60,#32373A,0.7
ardoise,800,#272B2E,75,64,56,69,#292B2E,1.2
ardoise,850,#1D2022,77,67,60,78,#1E2021,0.8
ardoise,900,#141516,78,70,61,86,#151415,1.3
ardoise,950,#0B0B0B,81,73,62,91,#0C0B0B,0.4
